GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_007679965.1	12816858	N/A	N/A	
GCA_006770325.1	11833498	GCF_006770325.1	11981438	
GCA_006770345.1	11833518	GCF_006770345.1	11979858	
GCA_006770365.1	11833538	GCF_006770365.1	11979038	
GCA_006770385.1	11833558	GCF_006770385.1	11979118	
GCA_006770405.1	11833578	GCF_006770405.1	11980678	
GCA_006770425.1	11833598	GCF_006770425.1	11981458	
GCA_901482585.1	11336408	N/A	N/A	
GCA_901472525.1	10609618	GCF_901472525.1	10708668	
GCA_901482575.1	10611108	GCF_901482575.1	10708788	
GCA_004794255.1	9301968	GCF_004794255.1	9341538	
GCA_004794295.1	9302008	GCF_004794295.1	9340918	
GCA_004771055.1	9267808	GCF_004771055.1	9297148	
GCA_004634505.1	9116758	GCF_004634505.1	9170788	
GCA_004634525.1	9116778	GCF_004634525.1	9170148	
GCA_004634545.1	9116798	GCF_004634545.1	9167688	
GCA_004634565.1	9116818	GCF_004634565.1	9170128	
GCA_004634585.1	9116838	GCF_004634585.1	9168368	
GCA_004634605.1	9116858	GCF_004634605.1	9170808	
GCA_004634625.1	9116878	GCF_004634625.1	9170208	
GCA_004634645.1	9116898	GCF_004634645.1	9167728	
GCA_004634665.1	9116918	GCF_004634665.1	9167768	
GCA_004634685.1	9116938	GCF_004634685.1	9168388	
GCA_004634705.1	9116958	GCF_004634705.1	9170848	
GCA_004634725.1	9116978	GCF_004634725.1	9170228	
GCA_004634745.1	9116998	GCF_004634745.1	9167788	
GCA_004634765.1	9117018	GCF_004634765.1	9167808	
GCA_004634785.1	9117038	GCF_004634785.1	9168408	
GCA_004634805.1	9117058	GCF_004634805.1	9170868	
GCA_004634825.1	9117078	GCF_004634825.1	9170248	
GCA_004634845.1	9117098	GCF_004634845.1	9167828	
GCA_004634865.1	9117118	GCF_004634865.1	9167848	
GCA_004634885.1	9117138	GCF_004634885.1	9168428	
GCA_004634905.1	9117158	GCF_004634905.1	9170888	
GCA_004634925.1	9117178	GCF_004634925.1	9170308	
GCA_004635085.1	9117338	GCF_004635085.1	9168448	
GCA_004635105.1	9117358	GCF_004635105.1	9170908	
GCA_004635125.1	9117378	GCF_004635125.1	9170328	
GCA_004635145.1	9117398	GCF_004635145.1	9170368	
GCA_004635165.1	9117418	GCF_004635165.1	9167868	
GCA_004635185.1	9117438	GCF_004635185.1	9169148	
GCA_004635205.1	9117458	GCF_004635205.1	9170928	
GCA_004635225.1	9117478	GCF_004635225.1	9170388	
GCA_004635245.1	9117498	GCF_004635245.1	9170408	
GCA_004635265.1	9117518	GCF_004635265.1	9167888	
