genome_name,group
2519103005,Betaproteobacteria
2524023174,Betaproteobacteria
2524023176,Betaproteobacteria
2582580515,Betaproteobacteria
2582580538,Betaproteobacteria
2582580633,Betaproteobacteria
2582580700,Betaproteobacteria
2619618801,Betaproteobacteria
2619618802,Betaproteobacteria
2739367610,Betaproteobacteria
2739367611,Betaproteobacteria
K_Offshore_80m_m2_085,Alphaproteobacteria
K_DeepCast_250m_m1_099,Alphaproteobacteria
K_DeepCast_35m_m1_317,Alphaproteobacteria
M_surface_10_m2_180,Alphaproteobacteria
K_DeepCast_35m_m2_067,Alphaproteobacteria
M_DeepCast_400m_m2_041,Alphaproteobacteria
K_DeepCast_35m_m2_271,Alphaproteobacteria
M_surface_10_mx_057,Gammaproteobacteria
K_Offshore_120m_m1_138,Gammaproteobacteria
K_Offshore_80m_m1_082,Alphaproteobacteria
K_Offshore_120m_m2_043,Alphaproteobacteria
K_Offshore_120m_m2_141,Betaproteobacteria
K_Offshore_40m_m1_237,Betaproteobacteria
K_Offshore_40m_m1_259,Betaproteobacteria
M_surface_7_m1_304,Betaproteobacteria
K_Offshore_40m_m1_292,Betaproteobacteria
K_Offshore_0m_mx_098,Betaproteobacteria
K_Offshore_40m_m2_080,Betaproteobacteria
K_Offshore_120m_m1_203,Betaproteobacteria
M_DeepCast_65m_m2_016,Alphaproteobacteria
K_Offshore_40m_mx_105,Alphaproteobacteria
K_Offshore_40m_mx_120,Alphaproteobacteria
K_Offshore_80m_m2_186,Alphaproteobacteria
K_Offshore_40m_mx_206,Betaproteobacteria
K_DeepCast_150m_m1_387,Betaproteobacteria
K_Offshore_80m_m1_144,Alphaproteobacteria
K_Offshore_80m_m1_220,Alphaproteobacteria
K_Offshore_80m_m1_178,Betaproteobacteria
K_Offshore_80m_m2_113,Betaproteobacteria
K_Offshore_40m_m2_176,Fibrobacteres acidobacteria
K_Offshore_80m_m2_003,Fibrobacteres acidobacteria
K_Offshore_80m_m2_049,Alphaproteobacteria
K_DeepCast_35m_m2_271,Alphaproteobacteria
K_Offshore_80m_m2_051,Alphaproteobacteria
K_Offshore_80m_m2_162,Alphaproteobacteria
K_Offshore_80m_m2_081,Alphaproteobacteria
M_DeepCast_400m_m1_040,Alphaproteobacteria
K_Offshore_80m_m2_107,Alphaproteobacteria
K_Offshore_80m_m2_113,Betaproteobacteria
K_Offshore_0m_m1_114,Betaproteobacteria
K_Offshore_80m_m2_139,Betaproteobacteria
K_Offshore_40m_m2_080,Betaproteobacteria
K_DeepCast_35m_m1_027,Alphaproteobacteria
K_Offshore_80m_m2_186,Alphaproteobacteria
M_DeepCast_50m_m1_063,Alphaproteobacteria
K_Offshore_80m_m2_191,Alphaproteobacteria
M_DeepCast_65m_m1_011,Deltaproteobacteria
K_Offshore_80m_m2_194,Deltaproteobacteria
K_Offshore_80m_m2_146,Alphaproteobacteria
K_Offshore_80m_m2_228,Alphaproteobacteria
K_Offshore_surface_m1_194,Alphaproteobacteria
K_Offshore_80m_m2_123,Alphaproteobacteria
M_DeepCast_200m_m2_174,Alphaproteobacteria
K_Offshore_120m_m2_043,Alphaproteobacteria
M_DeepCast_50m_m1_133,CP Rokubacteria
M_DeepCast_50m_m2_049,CP Staskawiczbacteria
K_DeepCast_250m_m1_236,CP Nealsonbacteria
M_DeepCast_50m_m1_244,CP Rokubacteria
K_DeepCast_35m_m2_327,Alphaproteobacteria
M_DeepCast_50m_m2_111,Alphaproteobacteria
M_DeepCast_50m_m2_111,Alphaproteobacteria
M_DeepCast_65m_m2_129,Alphaproteobacteria
M_surface_6_m2_085,Gammaproteobacteria
M_surface_10_m2_141,Gammaproteobacteria
K_Offshore_80m_m2_139,Betaproteobacteria
M_surface_7_m1_304,Betaproteobacteria
K_DeepCast_250m_m2_101,Alphaproteobacteria
M_surface_9_m2_109,Alphaproteobacteria
