isolate,Group,tfdA_accession,Study
Burkholderia sp. TFD2,Betaproteobacteria,EU827440,Tonso et al. 1995
Burkholderia sp. TFD4,Betaproteobacteria,EU827442.1,Tonso et al. 1995
Burkholderia sp. TFD6,Betaproteobacteria,EU827439.1,Tonso et al. 1995
Achromobacter xylosoxidans TFD9,Betaproteobacteria,EU827458.1,Tonso et al. 1995
Burkholderia sp. TFD17,Betaproteobacteria,EU827443.1,Tonso et al. 1995
Burkholderia sp. TFD19,Betaproteobacteria,EU827462.1,Tonso et al. 1995
Burkholderia sp. TFD20,Betaproteobacteria,EU827444.1,Tonso et al. 1995
Burkholderia sp. TFD21,Betaproteobacteria,EU827445.1,Tonso et al. 1995
Burkholderia sp. TFD23,Betaproteobacteria,EU827446.1,Tonso et al. 1995
Burkholderia sp. TFD28,Betaproteobacteria,EU827447.1,Tonso et al. 1995
Burkholderia sp. TFD29,Betaproteobacteria,EU827461.1,Tonso et al. 1995
Burkholderia sp. TFD31,Betaproteobacteria,EU827448.1,Tonso et al. 1995
Burkholderia sp. TFD32,Betaproteobacteria,EU827449.1,Tonso et al. 1995
Cupriavidus sp. TFD33,Betaproteobacteria,EU827463.1,Tonso et al. 1995
Burkholderia sp. TFD34,Betaproteobacteria,EU827450.1,Tonso et al. 1995
Variovorax koreensis strain TFD35,Betaproteobacteria,EU827452.1,Tonso et al. 1995
Burkholderia sp. TFD36,Betaproteobacteria,EU827438.1,Tonso et al. 1995
Cupriavidus sp. TFD38,Betaproteobacteria,EU827464.1,Tonso et al. 1995
Pseudomonas sp. TFD39,Gammaproteobacteria,EU827465.1,Tonso et al. 1995
Cupriavidus sp. TFD40,Betaproteobacteria,EU827454.1,Tonso et al. 1995
Cupriavidus sp. TFD42,Betaproteobacteria,EU827460.1,Tonso et al. 1995
Cupriavidus sp. TFD45,Betaproteobacteria,EU827453.1,Tonso et al. 1995
Achromobacter xylosoxidans TFD47,Betaproteobacteria,EU827459.1,Baelum et al. 2010
Cupriavidus respiraculi strain TFD48,Betaproteobacteria,EU827455.1,Tonso et al. 1995
Pseudomonas putida,Gammaproteobacteria,EU827456.1,Baelum et al. 2010
Pseudomonas sp. TFD50,Gammaproteobacteria,EU827457.1,Baelum et al. 2010
Cupriavidus sp. TFD51,Betaproteobacteria,EU827466.1,Baelum et al. 2010
Burkholderia sp. TFD52`,Betaproteobacteria,EU827451.1,Tonso et al. 1995
JMP134,Betaproteobacteria,EU827467.1,Streber et al. 1987
Burkholderia tropicana RASC,Betaproteobacteria,EU827441.1,Pemberton et al. 1979
Delftia acidovorans,Betaproteobacteria,AY078159,
