>2582580538_2582678739,ME16806DRAFT_00697
>2582580538_2582678740,ME16806DRAFT_00698
>2582580538_2582678741,ME16806DRAFT_00699
>2582580538_2582678742,ME16806DRAFT_00700
>2582580538_2582678743,ME16806DRAFT_00701
>2582580538_2582678744,ME16806DRAFT_00702
>2582580538_2582678745,ME16806DRAFT_00703
>2582580633_2582871212,TE3838DRAFT_00508
>2582580633_2582871213,TE3838DRAFT_00509
>2582580633_2582871214,TE3838DRAFT_00510
>2582580633_2582871215,TE3838DRAFT_00511
>2582580633_2582871216,TE3838DRAFT_00512
>2582580633_2582871217,TE3838DRAFT_00513
>2582580633_2582871218,TE3838DRAFT_00514
>2582580700_2583036565,TH5891DRAFT_01982
>2582580700_2583036566,TH5891DRAFT_01983
>2582580700_2583036567,TH5891DRAFT_01984
>2582580700_2583036568,TH5891DRAFT_01985
>2582580700_2583036569,TH5891DRAFT_01986
>2582580700_2583036570,TH5891DRAFT_01987
>2582580700_2583036571,TH5891DRAFT_01988
>2619618801_2619619088,Ga0073394_10191
>2619618801_2619619089,Ga0073394_10192
>2619618801_2619619090,Ga0073394_10193
>2619618801_2619619091,Ga0073394_10194
>2619618801_2619619092,Ga0073394_10195
>2619618801_2619619093,Ga0073394_10196
>2619618801_2619619094,Ga0073394_10197
>2739367610_2739523143,Ga0191969_10071
>2739367610_2739523144,Ga0191969_10072
>2739367610_2739523145,Ga0191969_10073
>2739367610_2739523146,Ga0191969_10074
>2739367610_2739523147,Ga0191969_10075
>2739367610_2739523148,Ga0191969_10076
>2739367610_2739523149,Ga0191969_10077
>GCA_000147835.3_BIGDNEEH_04094,hypothetical
>GCA_000147835.3_BIGDNEEH_04095,hypothetical
>GCA_000147835.3_BIGDNEEH_04096,Glutarate-semialdehyde
>GCA_000147835.3_BIGDNEEH_04097,Alpha-ketoglutarate-dependent
>GCA_000147835.3_BIGDNEEH_04098,Acetolactate
>GCA_000147835.3_BIGDNEEH_04099,2-dehydro-3-deoxy-D-gluconate
>GCA_000147835.3_BIGDNEEH_04100,hypothetical
>GCA_000171835.1_MIGNJAED_05503,hypothetical
>GCA_000171835.1_MIGNJAED_05504,hypothetical
>GCA_000171835.1_MIGNJAED_05505,hypothetical
>GCA_000171835.1_MIGNJAED_05506,Alpha-ketoglutarate-dependent
>GCA_000171835.1_MIGNJAED_05507,Phenylacetone
>GCA_000171835.1_MIGNJAED_05508,L-cystine
>GCA_000171835.1_MIGNJAED_05509,hypothetical
>GCA_000171835.1_MIGNJAED_05855,3-oxoacyl-[acyl-carrier-protein]
>GCA_000171835.1_MIGNJAED_05856,hypothetical
>GCA_000171835.1_MIGNJAED_05857,HTH-type
>GCA_000171835.1_MIGNJAED_05858,Alpha-ketoglutarate-dependent
>GCA_000171835.1_MIGNJAED_05859,Oxygen-dependent
>GCA_000171835.1_MIGNJAED_05860,hypothetical
>GCA_000171835.1_MIGNJAED_05861,hypothetical
>GCA_000239815.2_BGMIBGBO_04320,Multidrug
>GCA_000239815.2_BGMIBGBO_04321,hypothetical
>GCA_000239815.2_BGMIBGBO_04322,hypothetical
>GCA_000239815.2_BGMIBGBO_04323,Alpha-ketoglutarate-dependent
>GCA_000239815.2_BGMIBGBO_04324,hypothetical
>GCA_000239815.2_BGMIBGBO_04325,hypothetical
>GCA_000239815.2_BGMIBGBO_04326,Lipopolysaccharide
>GCA_000263795.2_CIOFAKHO_02135,HTH-type
>GCA_000263795.2_CIOFAKHO_02136,HTH-type
>GCA_000263795.2_CIOFAKHO_02137,hypothetical
>GCA_000263795.2_CIOFAKHO_02138,Alpha-ketoglutarate-dependent
>GCA_000263795.2_CIOFAKHO_02139,tRNA-dihydrouridine(20/20a)
>GCA_000263795.2_CIOFAKHO_02140,hypothetical
>GCA_000263795.2_CIOFAKHO_02141,hypothetical
>GCA_000283515.1_FHOHFAOF_01241,HTH-type
>GCA_000283515.1_FHOHFAOF_01242,Bifunctional
>GCA_000283515.1_FHOHFAOF_01243,Peroxiredoxin
