Mycobacterium avium subsp. paratuberculosis K-10	Bacteria	Terrabacteria group	Actinobacteria	K-10	SAMN02604086	PRJNA91	GCA_000007865.1	Complete	4.82978	69.3	chromosome:NC_002944.2/AE016958.1		1	4311	2001-12-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/865/GCF_000007865.1_ASM786v1
Bradyrhizobium diazoefficiens USDA 110	Bacteria	Proteobacteria	Alphaproteobacteria	USDA110	SAMD00061083	PRJNA17	GCA_000011365.1	Complete	9.10583	64.1	chromosome:NC_004463.1/BA000040.2		1	8317	2002-12-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/365/GCA_000011365.1_ASM1136v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/365/GCF_000011365.1_ASM1136v1
Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Betaproteobacteria	LB400	SAMN02598451	PRJNA254	GCA_000013645.1	Complete	9.73114	62.6336	chromosome 1:NC_007951.1/CP000270.1; chromosome 2:NC_007952.1/CP000271.1; chromosome 3:NC_007953.1/CP000272.1		3	8421	2006-04-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/645/GCA_000013645.1_ASM1364v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/645/GCF_000013645.1_ASM1364v1
Burkholderia cenocepacia AU 1054	Bacteria	Proteobacteria	Betaproteobacteria	AU 1054	SAMN02598326	PRJNA13919	GCA_000014085.1	Complete	7.27912	66.9164	chromosome 1:NC_008060.1/CP000378.1; chromosome 2:NC_008061.1/CP000379.1; chromosome 3:NC_008062.1/CP000380.1		3	6469	2006-06-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/085/GCA_000014085.1_ASM1408v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/085/GCF_000014085.1_ASM1408v1
Mycobacterium avium 104	Bacteria	Terrabacteria group	Actinobacteria	104	SAMN02603981	PRJNA88	GCA_000014985.1	Complete	5.47549	69	chromosome:NC_008595.1/CP000479.1		1	4894	2006-11-20T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/985/GCA_000014985.1_ASM1498v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/985/GCF_000014985.1_ASM1498v1
Bradyrhizobium sp. BTAi1	Bacteria	Proteobacteria	Alphaproteobacteria	BTAi1	SAMN02598359	PRJNA16137	GCA_000015165.1	Complete	8.49351	64.7868	chromosome:NC_009485.1/CP000494.1; plasmid pBBta01:NC_009475.1/CP000495.1		2	7496	2007-05-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/165/GCA_000015165.1_ASM1516v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/165/GCF_000015165.1_ASM1516v1
Burkholderia cenocepacia MC0-3	Bacteria	Proteobacteria	Betaproteobacteria	MC0-3	SAMN02598404	PRJNA17929	GCA_000019505.1	Complete	7.97139	66.5829	chromosome 1:NC_010508.1/CP000958.1; chromosome 2:NC_010515.1/CP000959.1; chromosome 3:NC_010512.1/CP000960.1		3	7102	2008-03-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/505/GCA_000019505.1_ASM1950v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/505/GCF_000019505.1_ASM1950v1
Variovorax paradoxus S110	Bacteria	Proteobacteria	Betaproteobacteria	S110	SAMN02598472	PRJNA30453	GCA_000023345.1	Complete	6.755	67.4998	chromosome 1:NC_012791.1/CP001635.1; chromosome 2:NC_012792.1/CP001636.1		2	6247	2009-06-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/345/GCA_000023345.1_ASM2334v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/345/GCF_000023345.1_ASM2334v1
Bradyrhizobium sp. ORS 278	Bacteria	Proteobacteria	Alphaproteobacteria	ORS278	SAMEA3138227	PRJNA19575	GCA_000026145.1	Complete	7.45659	65.5	chromosome:NC_009445.1/CU234118.1		1	6589	2007-05-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/145/GCA_000026145.1_ASM2614v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/145/GCF_000026145.1_ASM2614v1
Sphingobium chlorophenolicum L-1	Bacteria	Proteobacteria	Alphaproteobacteria	L-1	SAMN00016829	PRJNA50015	GCA_000147835.3	Complete	4.57322	63.8346	chromosome 1:NC_015593.1/CP002798.1; chromosome 2:NC_015594.1/CP002799.1; plasmid pSPHCH01:NC_015595.1/CP002800.1		3	4029	2011-05-26T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/835/GCA_000147835.3_ASM14783v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/835/GCF_000147835.2_ASM14783v3
Bordetella pertussis B1917	Bacteria	Proteobacteria	Betaproteobacteria	B1917	SAMN02470863	PRJNA46277	GCA_000193595.3	Complete	4.10219	67.7	chromosome:NZ_CP009751.1/CP009751.1		1	3620	2014-11-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/595/GCA_000193595.3_ASM19359v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/595/GCF_000193595.2_ASM19359v3
Bordetella pertussis B1920	Bacteria	Proteobacteria	Betaproteobacteria	B1920	SAMN02470864	PRJNA46279	GCA_000193615.3	Complete	4.11463	67.7	chromosome:NZ_CP009752.1/CP009752.1		1	3598	2014-11-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/615/GCA_000193615.3_ASM19361v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/615/GCF_000193615.2_ASM19361v3
Bordetella pertussis Tohama I	Bacteria	Proteobacteria	Betaproteobacteria	Tohama I	SAMEA1705933	PRJNA26	GCA_000195715.1	Complete	4.08619	67.7	chromosome:NC_002929.2/BX470248.1		1	3425	2001-11-06T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/715/GCA_000195715.1_ASM19571v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/715/GCF_000195715.1_ASM19571v1
Cupriavidus pinatubonensis JMP134	Bacteria	Proteobacteria	Betaproteobacteria	JMP134	SAMN02598255	PRJNA10646	GCA_000203875.1	Complete	7.25529	64.4539	chromosome 1:NC_007347.1/CP000090.1; chromosome 2:NC_007348.1/CP000091.1; plasmid Plasmid1:NC_007337.1/CP000093.1; plasmid megaplasmid:NC_007336.1/CP000092.1		4	6492	2005-08-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/875/GCA_000203875.1_ASM20387v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/875/GCF_000203875.1_ASM20387v1
Burkholderia cenocepacia HI2424	Bacteria	Proteobacteria	Betaproteobacteria	HI2424	SAMN00113327	PRJNA13918	GCA_000203955.1	Complete	7.70284	66.8004	chromosome 1:NC_008542.1/CP000458.1; chromosome 2:NC_008543.1/CP000459.1; chromosome 3:NC_008544.1/CP000460.1; plasmid Plasmid1:NC_008545.1/CP000461.1		4	6943	2006-10-25T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/955/GCA_000203955.1_ASM20395v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/955/GCF_000203955.1_ASM20395v1
Bordetella pertussis CS	Bacteria	Proteobacteria	Betaproteobacteria	CS	SAMN02603647	PRJNA66287	GCA_000212975.1	Complete	4.12424	67.7	chromosome:NC_017223.1/CP002695.1		1	3634	2011-05-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/975/GCA_000212975.1_ASM21297v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/975/GCF_000212975.1_ASM21297v1
Advenella kashmirensis WT001	Bacteria	Proteobacteria	Betaproteobacteria	WT001	SAMN01940915	PRJNA67337	GCA_000219915.3	Complete	4.42388	54.7927	chromosome:NC_017964.1/CP003555.1; plasmid pWTk445:NC_017965.1/CP003556.1		2	3312	2012-05-25T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/915/GCA_000219915.3_ASM21991v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/915/GCF_000219915.2_ASM21991v3
Hydrogenophaga sp. PBC	Bacteria	Proteobacteria	Betaproteobacteria	PBC	SAMN02471431	PRJNA84413	GCA_000263795.2	Complete	5.23248	68.4	chromosome:NZ_CP017311.1/CP017311.1		1	4933	2016-09-28T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/795/GCA_000263795.2_Hint_PBC	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/795/GCF_000263795.2_Hint_PBC
Sphingobium sp. SYK-6	Bacteria	Proteobacteria	Alphaproteobacteria	SYK-6	SAMD00061118	PRJNA67115	GCA_000283515.1	Complete	4.34813	65.5589	chromosome:NC_015976.1/AP012222.1; plasmid pSLPG:NC_015974.1/AP012223.1		2	3932	2011-08-31T23:07:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/515/GCA_000283515.1_ASM28351v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/515/GCF_000283515.1_ASM28351v1
Bradyrhizobium sp. S23321	Bacteria	Proteobacteria	Alphaproteobacteria	S23321	SAMD00060998	PRJDA72425	GCA_000284275.1	Complete	7.23184	64.3	chromosome:NC_017082.1/AP012279.1		1	6733	2012-03-28T23:04:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/275/GCA_000284275.1_ASM28427v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/275/GCF_000284275.1_ASM28427v1
Bradyrhizobium japonicum USDA 6	Bacteria	Proteobacteria	Alphaproteobacteria	USDA 6	SAMD00060992	PRJDA67463	GCA_000284375.1	Complete	9.20738	63.7	chromosome:NC_017249.1/AP012206.1		1	8327	2011-10-31T23:11:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/375/GCF_000284375.1_ASM28437v1
Bradyrhizobium sp. CCGE-LA001	Bacteria	Proteobacteria	Alphaproteobacteria	CCGE-LA001	SAMN02469422	PRJNA172908	GCA_000296215.2	Complete	7.8335	63.6	chromosome:NZ_CP013949.1/CP013949.1		1	6988	2016-01-25T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/215/GCA_000296215.2_ASM29621v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/215/GCF_000296215.2_ASM29621v2
