accession,bioproject,biosample,organism_name,group,environment,intraspecific_name,assembly_level,seq_rel_date,project,ftp_path
GCA_001767945.1,PRJNA288027,SAMN04315547,Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_66_14,Alphaproteobacteria,Aquifer,,Scaffold,10/18/16,"Banfield Lab, University of California, Berkeley",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/767/945/GCA_001767945.1_ASM176794v1
GCA_001770325.1,PRJNA288027,SAMN04313789,Betaproteobacteria bacterium RIFCSPLOWO2_02_64_14,Betaproteobacteria,Aquifer,,Scaffold,10/18/16,"Banfield Lab, University of California, Berkeley",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/770/325/GCA_001770325.1_ASM177032v1
GCA_001771935.1,PRJNA288027,SAMN04315990,Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_67_26,Betaproteobacteria,Aquifer,,Scaffold,10/18/16,"Banfield Lab, University of California, Berkeley",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/771/935/GCA_001771935.1_ASM177193v1
GCA_001788485.1,PRJNA288027,SAMN04315936,Candidatus Rokubacteria bacterium RIFCSPLOWO2_02_FULL_71_18,Candidatus Rokubacteria,Aquifer,,Scaffold,10/19/16,"Banfield Lab, University of California, Berkeley",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/788/485/GCA_001788485.1_ASM178848v1
GCA_001829045.1,PRJNA288027,SAMN04314216,Sphingomonadales bacterium GWF1_63_6,Alphaproteobacteria,Aquifer,,Scaffold,10/21/16,"Banfield Lab, University of California, Berkeley",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/045/GCA_001829045.1_ASM182904v1
GCA_002292285.1,PRJNA348753,SAMN06457236,Proteobacteria bacterium UBA981,Unclassified Proteobacteria,Marine,UBA981,Scaffold,9/12/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/292/285/GCA_002292285.1_ASM229228v1
GCA_002292845.1,PRJNA348753,SAMN06451938,Alcaligenaceae bacterium UBA971,Betaproteobacteria,Freshwater,UBA971,Scaffold,9/12/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/292/845/GCA_002292845.1_ASM229284v1
GCA_002295635.1,PRJNA348753,SAMN06455827,Alphaproteobacteria bacterium UBA830,Alphaproteobacteria,Marine,UBA830,Scaffold,9/12/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/295/635/GCA_002295635.1_ASM229563v1
GCA_002296855.1,PRJNA348753,SAMN06456110,Alphaproteobacteria bacterium UBA815,Alphaproteobacteria,Marine,UBA815,Scaffold,9/12/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/296/855/GCA_002296855.1_ASM229685v1
GCA_002298745.1,PRJNA348753,SAMN06452891,Alphaproteobacteria bacterium UBA723,Alphaproteobacteria,Marine,UBA723,Scaffold,9/12/17,University of Queensland,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/298/745/GCA_002298745.1_ASM229874v1
